split,tumor_type,image_name,dice_otsu,jaccard_otsu,dice_sauvola,jaccard_sauvola,dice_comparison,jaccard_comparison
Testing,glioma,Te-gl_0166.jpg,1.0,1.0,0.6798937091474192,0.5150295198641277,0.6798937091474192,0.5150295198641277
Testing,glioma,Te-gl_0228.jpg,1.0,1.0,0.6487924894394146,0.48015755120414133,0.6487924894394146,0.48015755120414133
Testing,glioma,Te-gl_0146.jpg,1.0,1.0,0.6261510569679708,0.45576412177169984,0.6261510569679708,0.45576412177169984
Testing,glioma,Te-gl_0126.jpg,1.0,1.0,0.5997885922337801,0.42835573893133233,0.5997885922337801,0.42835573893133233
Testing,glioma,Te-gl_0138.jpg,1.0,1.0,0.6712113204634121,0.5051302218329371,0.6712113204634121,0.5051302218329371
Testing,meningioma,Te-me_0303.jpg,1.0,1.0,0.4753338997340521,0.3117626211084115,0.4753338997340521,0.3117626211084115
Testing,meningioma,Te-me_0214.jpg,1.0,1.0,0.6189008683271354,0.44812197338614507,0.6189008683271354,0.44812197338614507
Testing,meningioma,Te-me_0268.jpg,1.0,1.0,0.6934063379736047,0.5306977663569875,0.6934063379736047,0.5306977663569875
Testing,meningioma,Te-me_0036.jpg,1.0,1.0,0.7825914412328858,0.6428338585243942,0.7825914412328858,0.6428338585243942
Testing,meningioma,Te-me_0030.jpg,1.0,1.0,0.6761924984075041,0.5107936747556328,0.6761924984075041,0.5107936747556328
Testing,notumor,Te-no_0293.jpg,1.0,1.0,0.6381748827934645,0.46861735382185515,0.6381748827934645,0.46861735382185515
Testing,notumor,Te-no_0040.jpg,1.0,1.0,0.6929040811620936,0.5301095896452118,0.6929040811620936,0.5301095896452118
Testing,notumor,Te-no_0243.jpg,1.0,1.0,0.5870918775145584,0.41552020840662107,0.5870918775145584,0.41552020840662107
Testing,notumor,Te-no_0380.jpg,1.0,1.0,0.6606592797434945,0.49327200297245305,0.6606592797434945,0.49327200297245305
Testing,notumor,Te-no_0029.jpg,1.0,1.0,0.34039352445424553,0.20510496281493995,0.34039352445424553,0.20510496281493995
Testing,pituitary,Te-pi_0237.jpg,1.0,1.0,0.7286904003586006,0.5731809156197227,0.7286904003586006,0.5731809156197227
Testing,pituitary,Te-pi_0032.jpg,1.0,1.0,0.6837578222016606,0.5194772160738483,0.6837578222016606,0.5194772160738483
Testing,pituitary,Te-pi_0242.jpg,1.0,1.0,0.7472093412717203,0.5964359137465314,0.7472093412717203,0.5964359137465314
Testing,pituitary,Te-pi_0018.jpg,1.0,1.0,0.643177570093458,0.47403223584515775,0.643177570093458,0.47403223584515775
Testing,pituitary,Te-pi_0034.jpg,1.0,1.0,0.6878186934404609,0.5241796160348301,0.6878186934404609,0.5241796160348301
Training,glioma,Tr-gl_0280.jpg,1.0,1.0,0.579512273334135,0.4079671104898262,0.579512273334135,0.4079671104898262
Training,glioma,Tr-gl_0231.jpg,1.0,1.0,0.5834977811424028,0.4119286036932517,0.5834977811424028,0.4119286036932517
Training,glioma,Tr-gl_0385.jpg,1.0,1.0,0.5496321526309726,0.3789605193110199,0.5496321526309726,0.3789605193110199
Training,glioma,Tr-gl_0113.jpg,1.0,1.0,0.6623170094745104,0.4951225470949053,0.6623170094745104,0.4951225470949053
Training,glioma,Tr-gl_1076.jpg,1.0,1.0,0.6450374531835206,0.4760555593946514,0.6450374531835206,0.4760555593946514
Training,meningioma,Tr-me_0649.jpg,1.0,1.0,0.7346616373512527,0.5806048872282485,0.7346616373512527,0.5806048872282485
Training,meningioma,Tr-me_0088.jpg,1.0,1.0,0.4556624771977976,0.29505368513678115,0.4556624771977976,0.29505368513678115
Training,meningioma,Tr-me_0438.jpg,1.0,1.0,0.6782417463889047,0.5131360023937219,0.6782417463889047,0.5131360023937219
Training,meningioma,Tr-me_1307.jpg,1.0,1.0,0.5070874925470736,0.3396632354646294,0.5070874925470736,0.3396632354646294
Training,meningioma,Tr-me_0186.jpg,1.0,1.0,0.7111961775964681,0.5518265582655827,0.7111961775964681,0.5518265582655827
Training,notumor,Tr-no_1025.jpg,1.0,1.0,0.8573321151210599,0.7502898492783753,0.8573321151210599,0.7502898492783753
Training,notumor,Tr-no_0141.jpg,1.0,1.0,0.7804094892716833,0.6398946879355738,0.7804094892716833,0.6398946879355738
Training,notumor,Tr-no_0161.jpg,1.0,1.0,0.5601218783226919,0.38900645123366984,0.5601218783226919,0.38900645123366984
Training,notumor,Tr-no_0890.jpg,1.0,1.0,0.7198716727018614,0.5623433661695739,0.7198716727018614,0.5623433661695739
Training,notumor,Tr-no_0166.jpg,1.0,1.0,0.8868423016643033,0.796690624329543,0.8868423016643033,0.796690624329543
Training,pituitary,Tr-pi_0038.jpg,1.0,1.0,0.7713613403847779,0.6278178977587668,0.7713613403847779,0.6278178977587668
Training,pituitary,Tr-pi_0298.jpg,1.0,1.0,0.7170286414269055,0.5588812537673297,0.7170286414269055,0.5588812537673297
Training,pituitary,Tr-pi_0730.jpg,1.0,1.0,0.8932082416842483,0.807024659312135,0.8932082416842483,0.807024659312135
Training,pituitary,Tr-pi_0666.jpg,1.0,1.0,0.7716549890133321,0.6282070445285566,0.7716549890133321,0.6282070445285566
Training,pituitary,Tr-pi_1113.jpg,1.0,1.0,0.6072802990064617,0.43603913879673,0.6072802990064617,0.43603913879673
